order_id,customer_name,customer_gender,date_of_birth,email,phone,country,city,region,pincode,customer_segment,product_category,product_name,quantity,unit_price,discount,order_date,payment_mode,order_status,revenue,flag_negative_qty,flag_invalid_discount,duplicates_order_id,duplicate_order_id
ORD10872,Matthew Moody,Female,1970-04-03,jenniferhernandez@example.net,+1-983-752-7918,United Kingdom,South Stephaniefort,West,65120.0,Consumer,Beauty,Lipstick Set,5,465.28,0.0,,Debit Card,Delivered,2326.4,False,True,unique,unique
ORD11201,Dakota Thomas,Male,,rdurham@example.net,797-424-3871x29514,CANADA,West Ericahaven,West,84717.0,Corporate,Books,Self-Help Book,5,463.78,0.0,,Credit Card,Pending,2318.9,False,True,unique,unique
ORD10102,Samantha Hickman,,,ashleyatkinson@example.net,+1-856-521-8501,India,West Cassiefurt,West,43279.0,Corporate,Beauty,Face Wash,5,484.05,0.05,,Debit Card,Cancelled,2299.24,False,True,unique,unique
ORD11095,John Pennington,Male,1969-02-01,howardjohn@example.org,(569)437-0632x5031,CANADA,West Amandastad,West,,Corporate,Clothing,Formal Shirt,5,456.51,0.0,2023-05-16,Cash On Delivery,Cancelled,2282.55,False,True,unique,unique
ORD10759,Tina Taylor,Male,1970-11-20,robertsonlori@example.net,,India,North Christopher,South,7699.0,Consumer,Books,Kids Story Book,5,454.13,0.0,2024-09-05,Credit Card,Pending,2270.65,False,True,unique,unique
ORD10807,Jeffrey Baker,Female,,wendymason@example.net,+1-923-839-4495x30067,India,West Mark,West,29070.0,Home Office,Electronics,USB-C Hub,5,477.95,0.05,,Debit Card,Delivered,2270.26,False,True,unique,unique
ORD10645,Jamie French,Female,,michael43@example.net,736-797-0931x7069,United Kingdom,Smithchester,West,95420.0,Corporate,Clothing,Running Shoes,5,475.07,0.05,,Cash On Delivery,Cancelled,2256.58,False,True,unique,unique
ORD11712,Scott Hunt Jr.,Female,,melissa43@example.net,001-864-416-4508,India,Jamesberg,South,,Corporate,Home & Kitchen,Non-stick Pan,5,448.22,0.0,2024-07-15,Net Banking,Shipped,2241.1,False,True,unique,unique
ORD12199,Christopher Larson,Female,,nhurley@example.org,(421)808-5837x558,India,East Stacey,West,69634.0,Home Office,Books,Kids Story Book,5,447.65,0.0,2024-03-16,Debit Card,Delivered,2238.25,False,True,unique,unique
ORD12565,Amy Jordan,Female,,nicholas94@example.net,785.860.1668,India,Pettymouth,West,69538.0,Home Office,Books,Cook Book,5,468.46,0.05,,Upi,Shipped,2225.18,False,True,unique,unique
ORD12185,Caitlin Ford,Female,,iaguilar@example.org,(891)356-9490x60827,India,North Genebury,South,,Home Office,Electronics,Smartwatch,5,437.62,0.0,,Debit Card,Shipped,2188.1,False,True,unique,unique
ORD10561,Anne Vasquez,Male,,davidrobertson@example.org,611.464.9133,United States,Markmouth,West,88103.0,Home Office,Books,Fiction Novel,5,482.75,0.1,,Net Banking,Shipped,2172.38,False,True,unique,unique
ORD12816,Stacey Hampton,Female,1996-08-08,,001-548-628-8276,India,Port Caitlyn,North,,Consumer,Sports,Football,5,481.61,0.1,,Upi,Delivered,2167.25,False,True,unique,unique
ORD12847,Anita Walker,Male,1979-03-10,tina67@example.org,+1-906-807-2772x365,United States,West Stephenchester,West,54403.0,Corporate,Clothing,Men's T-Shirt,5,432.5,0.0,,Credit Card,Delivered,2162.5,False,True,unique,unique
ORD12891,William Snyder,Male,,jwhitaker@example.org,(337)269-2461x05993,CANADA,Elizabethfort,North,80339.0,Home Office,Electronics,Earbuds,5,431.79,0.0,,Credit Card,Delivered,2158.95,False,True,unique,unique
ORD12924,Alan Patrick,Male,,lewismichael@example.net,001-933-566-8949x492,CANADA,Alvarezview,East,39347.0,Consumer,Books,Cook Book,5,429.97,0.0,,Net Banking,Pending,2149.85,False,True,unique,unique
ORD10466,Jacqueline Oliver,Female,,brian62@example.com,+1-907-787-0104x15914,CANADA,North Joyhaven,West,,Home Office,Books,Self-Help Book,5,452.56,0.05,,Credit Card,Cancelled,2149.66,False,True,unique,unique
ORD11663,Jason Peterson,Male,,fkirby@example.org,001-428-989-2030,UNITED STATES,Lindaview,North,4891.0,Home Office,Beauty,Lipstick Set,5,450.47,0.05,2023-09-18,Cash On Delivery,Cancelled,2139.73,False,True,unique,unique
ORD10996,Eric Wright,Female,,millsmichelle@example.com,+1-831-253-9839x122,UNITED STATES,North Pennyport,South,,Consumer,Books,Fiction Novel,5,447.85,0.05,,Credit Card,Pending,2127.29,False,True,unique,unique
ORD10054,Daniel Hunt,Female,,,,CANADA,West Erikashire,South,,Home Office,Sports,Football,5,497.34,0.15,,Net Banking,Pending,2113.69,False,True,unique,unique
ORD10230,Amber Butler,Female,,cheryl99@example.net,(879)350-1455,CANADA,Bridgesland,West,38883.0,Home Office,Books,Kids Story Book,5,442.0,0.05,,Upi,Shipped,2099.5,False,True,unique,unique
ORD12023,Anthony Baker,Male,,clineapril@example.net,(671)543-6947,United Kingdom,Kimberlyfurt,South,,Home Office,Books,Fiction Novel,5,419.74,0.0,,Upi,Cancelled,2098.7,False,True,unique,unique
ORD10171,Barbara Williams,Female,,david94@example.org,372-702-5909x47985,United States,East Abigail,West,66710.0,Home Office,Sports,Dumbbell Set,5,416.17,0.0,2023-04-27,Credit Card,Delivered,2080.85,False,True,unique,unique
ORD12900,Robin Bell,Female,,brownanthony@example.net,952-305-0099x119,CANADA,Williamhaven,East,49191.0,Consumer,Books,Self-Help Book,5,437.15,0.05,,Debit Card,Delivered,2076.46,False,True,unique,unique
ORD11239,Victor King,Female,,jason76@example.net,518-676-7760x064,India,Shellyshire,South,,Corporate,Books,Self-Help Book,5,460.86,0.1,2024-08-06,Net Banking,Shipped,2073.87,False,True,unique,unique
ORD10983,Thomas Smith,Male,,cheryl26@example.net,320-639-8313x5490,India,Kimberlychester,South,59436.0,Corporate,Books,Cook Book,5,413.48,0.0,2023-01-20,Credit Card,Returned,2067.4,False,True,unique,unique
ORD12052,Brian Wilson,Male,,,,India,Sharonmouth,West,53341.0,Home Office,Electronics,Bluetooth Speaker,5,434.38,0.05,,Net Banking,Delivered,2063.3,False,True,unique,unique
ORD10623,Stephen Neal,Male,,warnertimothy@example.net,001-423-216-6007x676,United Kingdom,Lake Bryanview,East,93549.0,Home Office,Beauty,Face Wash,5,412.66,0.0,,Cash On Delivery,Pending,2063.3,False,True,unique,unique
ORD12964,Luke Lopez,Female,,robertthompson@example.com,257-541-9450x89066,CANADA,Halltown,West,76797.0,Home Office,Electronics,Earbuds,5,484.79,0.15,,Net Banking,Returned,2060.36,False,True,unique,unique
ORD10261,Charles Perry,Female,,samuelfrost@example.org,(219)462-0710,UNITED KINGDOM,Lake Deniseport,South,55056.0,Corporate,Sports,Yoga Mat,5,409.69,0.0,,Cash On Delivery,Delivered,2048.45,False,True,unique,unique
ORD12183,Summer Cervantes,Female,,amyhowe@example.com,749-307-8725x50541,CANADA,New Jamiestad,South,59187.0,Home Office,Electronics,Laptop Stand,5,454.89,0.1,,Debit Card,Delivered,2047.0,False,True,unique,unique
ORD12542,Paula Powell,Male,1997-06-22,abutler@example.com,235-426-8219x471,CANADA,East Tyler,West,,Home Office,Home & Kitchen,LED Lamp,5,454.42,0.1,2023-03-18,Cash On Delivery,Shipped,2044.89,False,True,unique,unique
ORD10445,Christine Barnes,Male,,lstokes@example.com,,India,East Donnaton,West,15863.0,Home Office,Electronics,Wireless Mouse,5,479.99,0.15,,Debit Card,Cancelled,2039.96,False,True,unique,unique
ORD12625,Matthew Sanders,Female,,srobinson@example.com,441-656-1731,CANADA,East Darrell,South,76679.0,Corporate,Books,Fiction Novel,5,406.86,0.0,,Credit Card,Delivered,2034.3,False,True,unique,unique
ORD11738,Kimberly Santos,Male,,rodriguezanna@example.net,+1-367-597-4476,India,Schmidtside,West,56438.0,Corporate,Sports,Dumbbell Set,5,451.46,0.1,,Credit Card,Returned,2031.57,False,True,unique,unique
ORD10591,Renee Allen,Male,,,427.790.8335x090,United Kingdom,Sandrastad,West,61060.0,Home Office,Home & Kitchen,Non-stick Pan,5,473.24,0.15,,Cash On Delivery,Pending,2011.27,False,True,unique,unique
ORD10531,Kathryn Patel,Male,1968-10-04,cscott@example.net,001-617-685-1385,United States,Shannonmouth,North,,Consumer,Sports,Yoga Mat,5,396.72,0.0,,Debit Card,Delivered,1983.6,False,True,unique,unique
ORD12031,Carmen Adams,Female,,waltonrobert@example.net,335.455.6385,UNITED KINGDOM,Nicoleshire,North,58010.0,Consumer,Sports,Dumbbell Set,5,395.86,0.0,2023-08-05,Net Banking,Pending,1979.3,False,True,unique,unique
ORD10204,Mr. Michael Johnson Jr.,Female,,brianrowe@example.org,+1-872-934-6013,India,Lake Virginia,North,26607.0,Corporate,Electronics,Bluetooth Speaker,5,394.11,0.0,,Cash On Delivery,Delivered,1970.55,False,True,unique,unique
ORD10491,Christina White,Male,,davidbaker@example.net,001-871-820-6021x288,United States,Davidside,East,32146.0,Consumer,Sports,Dumbbell Set,5,392.29,0.0,2024-06-03,Net Banking,Pending,1961.45,False,True,unique,unique
ORD11872,Maria Farmer,Male,,samanthanunez@example.com,8532477411,CANADA,New Nathaniel,South,,Home Office,Books,Self-Help Book,5,390.29,0.0,,Credit  Card,Cancelled,1951.45,False,True,unique,unique
ORD12062,Alicia Nelson,,,newtonhenry@example.net,+1-776-273-6086x33399,India,Myersfurt,West,84749.0,Corporate,Clothing,Winter Jacket,5,456.08,0.15,,Cash On Delivery,Cancelled,1938.34,False,True,unique,unique
ORD10780,Sharon French,Male,,espinozarandy@example.com,248.516.5244x45446,CANADA,Haleyfort,East,79506.0,Home Office,Sports,Football,5,482.45,0.2,,Net Banking,Cancelled,1929.8,False,True,unique,unique
ORD10142,Karen Davis,Female,1970-07-14,tiffany71@example.com,(277)641-8625x6527,UNITED STATES,Marshallbury,West,35701.0,Home Office,Clothing,Men's T-Shirt,5,428.03,0.1,2024-02-16,Credit Card,Cancelled,1926.13,False,True,unique,unique
ORD10107,Leslie Gardner,Female,,,+1-407-637-4167,India,West Donna,North,94248.0,Home Office,Electronics,Smartwatch,5,404.05,0.05,2023-11-05,Net Banking,Cancelled,1919.24,False,True,unique,unique
ORD10516,Glenn Carroll,Male,,fdavis@example.org,001-612-559-0203x5713,UNITED STATES,West Brian,East,93026.0,Consumer,Books,Self-Help Book,5,382.49,0.0,2023-07-29,Net Banking,Shipped,1912.45,False,True,unique,unique
ORD11566,Christopher Harris,,,davidhart@example.org,6717320448,India,Chavezfort,East,9816.0,Consumer,Electronics,Smartwatch,5,380.77,0.0,,Credit Card,Pending,1903.85,False,True,unique,unique
ORD10800,Thomas Fernandez,Female,,griffinsean@example.com,001-506-457-9551x562,United States,New Austinmouth,North,43040.0,Home Office,Home & Kitchen,LED Lamp,5,422.54,0.1,,Credit Card,Cancelled,1901.43,False,True,unique,unique
ORD11621,Paul Burns,Female,,,829.930.5577x97983,United States,Smithport,East,,Corporate,Beauty,Lipstick Set,5,379.37,0.0,,Debit Card,Delivered,1896.85,False,True,unique,unique
ORD10203,Lisa Nelson,Female,,malikhernandez@example.net,3214442703,United States,South Jeffchester,East,41339.0,Home Office,Sports,Football,5,378.71,0.0,,Debit Card,Shipped,1893.55,False,True,unique,unique
ORD11778,Pamela Esparza,Female,1994-07-08,,8436331569,United States,North Brandonport,West,,Home Office,Electronics,Earbuds,5,376.7,0.0,,Cash On Delivery,Cancelled,1883.5,False,True,unique,unique
ORD12951,John Marshall,Female,,timothy84@example.net,363.291.7013,United States,New Manuel,West,58389.0,Corporate,Home & Kitchen,Non-stick Pan,5,394.13,0.05,2024-02-10,Credit Card,Cancelled,1872.12,False,True,unique,unique
ORD11022,Beth Price,Female,,kmorris@example.net,+1-591-438-3100x643,India,Port Katherine,East,82475.0,Consumer,Beauty,Sunscreen SPF50,5,415.61,0.1,,Cash On Delivery,Cancelled,1870.24,False,True,unique,unique
ORD10074,Eric Key,,,khammond@example.org,(451)477-8528,UNITED STATES,Shawton,North,16775.0,Consumer,Home & Kitchen,Storage Box,5,372.94,0.0,,Upi,Pending,1864.7,False,True,unique,unique
ORD11552,Amber Dean Dvm,,1983-01-07,danielanderson@example.com,741.248.5027,CANADA,South Amy,South,2930.0,Home Office,Beauty,Lipstick Set,5,465.2,0.2,,Debit Card,Returned,1860.8,False,True,unique,unique
ORD12557,Ashlee Mitchell,Female,,wsosa@example.com,+1-629-908-3116x8674,India,Bassmouth,South,26637.0,Corporate,Clothing,Running Shoes,5,391.29,0.05,,Cash On Delivery,Cancelled,1858.63,False,True,unique,unique
ORD11502,Carmen Anderson,Male,1988-05-23,alexandersteve@example.com,,United States,Rebeccatown,North,32521.0,Consumer,Home & Kitchen,Storage Box,5,368.65,0.0,2024-02-19,Credit Card,Cancelled,1843.25,False,True,unique,unique
ORD11150,Chad Palmer,Female,,,2746599153,India,Louistown,East,,Corporate,Electronics,USB-C Hub,5,431.27,0.15,2024-08-13,Upi,Delivered,1832.9,False,True,unique,unique
ORD11690,Denise Burns,,,cchase@example.com,001-999-909-6781x94565,United States,New Paul,West,4606.0,Home Office,Beauty,Hair Serum,5,428.56,0.15,2024-04-29,Debit Card,Pending,1821.38,False,True,unique,unique
ORD12672,Sean Henry,,,,312-786-5038x410,United States,East Howard,West,77220.0,Consumer,Home & Kitchen,Non-stick Pan,5,397.23,0.1,,Upi,Shipped,1787.54,False,True,unique,unique
ORD11007,Christopher Werner,Male,,fernandezjennifer@example.net,+1-643-711-3266x1158,United States,West Frankfurt,East,,Corporate,Beauty,Lipstick Set,5,376.04,0.05,,Credit  Card,Delivered,1786.19,False,True,unique,unique
ORD12689,Tyler Vargas,Male,,jay83@example.com,001-430-380-1187,UNITED STATES,New Amy,South,25285.0,Consumer,Sports,Yoga Mat,5,357.11,0.0,,Credit Card,Delivered,1785.55,False,True,unique,unique
ORD12878,Michael Peters,Female,,gdavis@example.com,,United States,Port Ericaside,East,46434.0,Home Office,Books,Cook Book,5,371.54,0.05,,Cash On Delivery,Returned,1764.82,False,True,unique,unique
ORD12338,Carlos Townsend,Male,1999-06-21,tmurphy@example.com,+1-348-665-7430x62068,United States,Lisaville,East,,Consumer,Sports,Yoga Mat,5,440.95,0.2,,Cash On Delivery,Delivered,1763.8,False,True,unique,unique
ORD12653,Lucas Obrien,Female,,ldalton@example.net,378-315-4836,India,Johnbury,South,29672.0,Corporate,Sports,Football,5,351.73,0.0,,Debit Card,Returned,1758.65,False,True,unique,unique
ORD11127,George Gilmore,Female,,colleenwilliams@example.net,804.837.6613,United Kingdom,New Sabrina,North,,Corporate,Electronics,Bluetooth Speaker,5,437.77,0.2,2023-01-19,Credit  Card,Cancelled,1751.08,False,True,unique,unique
ORD12865,Lynn Maldonado,Female,,melendezmichael@example.com,947.216.7804,India,Crystalport,West,33317.0,Corporate,Clothing,Men's T-Shirt,5,348.88,0.0,2023-09-12,Credit Card,Delivered,1744.4,False,True,unique,unique
ORD12908,Sarah Williamson,Female,,,371.535.8996x1600,United States,North Johnfort,North,66241.0,Corporate,Electronics,USB-C Hub,5,348.15,0.0,,Net Banking,Shipped,1740.75,False,True,unique,unique
ORD10457,Jeremy Wood,Female,,bdennis@example.org,536-329-4897x8610,UNITED KINGDOM,North Brian,West,,Corporate,Books,Fiction Novel,5,385.27,0.1,,Credit Card,Returned,1733.72,False,True,unique,unique
ORD10666,Mr. James Fletcher Md,Female,1966-12-24,julie65@example.net,001-520-924-6175x202,UNITED STATES,Rebeccaburgh,West,55272.0,Corporate,Sports,Football,5,345.46,0.0,,Credit  Card,Cancelled,1727.3,False,True,unique,unique
ORD10528,Wesley Barker,Female,,uwilliams@example.com,8298168154,India,East Stephanieview,North,95081.0,Corporate,Beauty,Sunscreen SPF50,5,345.17,0.0,,Net Banking,Cancelled,1725.85,False,True,unique,unique
ORD10330,Stephanie Burton,Male,,michaelmitchell@example.net,001-526-783-1589,India,Garciachester,West,,Corporate,Clothing,Winter Jacket,5,344.99,0.0,,Debit Card,Delivered,1724.95,False,True,unique,unique
ORD11542,David Bailey,Male,,,752.288.0507,India,Moranhaven,West,12039.0,Consumer,Home & Kitchen,Cushion Cover,5,405.2,0.15,,Upi,Pending,1722.1,False,True,unique,unique
ORD10713,Amanda Ramos,Female,,anna38@example.net,659.253.8280,CANADA,Susanville,East,19173.0,Consumer,Home & Kitchen,Blender,5,404.27,0.15,2024-10-20,Cash On Delivery,Delivered,1718.15,False,True,unique,unique
ORD11460,Curtis Beck,Male,,changheather@example.com,920.548.1093x05484,India,Scottfort,East,79144.0,Corporate,Clothing,Men's T-Shirt,5,379.17,0.1,2023-11-23,Credit Card,Cancelled,1706.26,False,True,unique,unique
ORD10359,Craig Murphy,Male,,james92@example.net,001-484-804-4566x9078,United States,East Jennifer,South,,Consumer,Clothing,Winter Jacket,5,340.91,0.0,,Credit Card,Delivered,1704.55,False,True,unique,unique
ORD11133,Joseph Miller,Female,,alicia00@example.net,(900)792-4492x878,United States,Riddlebury,North,84722.0,Home Office,Clothing,Women's Jeans,5,425.25,0.2,,Upi,Returned,1701.0,False,True,unique,unique
ORD10325,Shannon Garcia,Male,1987-08-07,jacksondavid@example.org,(524)978-7125x521,United States,Hammondtown,East,32655.0,Home Office,Books,Cook Book,5,395.71,0.15,2024-09-01,Upi,Pending,1681.77,False,True,unique,unique
ORD12409,Justin Sullivan,Female,,griffindeanna@example.net,(546)205-2173x213,India,Williemouth,West,89687.0,Corporate,Sports,Cricket Bat,5,420.24,0.2,,Cash On Delivery,Delivered,1680.96,False,True,unique,unique
ORD12303,Jamie Smith,Female,1977-10-06,craigchristina@example.net,,CANADA,Port Williambury,West,28157.0,Corporate,Sports,Football,5,353.29,0.05,,Cash On Delivery,Returned,1678.13,False,True,unique,unique
ORD12956,Holly Byrd,Female,,whitestephanie@example.com,546.694.8254x576,UNITED KINGDOM,Lisaside,North,,Corporate,Beauty,Lipstick Set,5,335.57,0.0,,Cash On Delivery,Shipped,1677.85,False,True,unique,unique
ORD10864,Emily Ortega,Female,,,463.272.6294,India,Bennettmouth,East,87433.0,Consumer,Clothing,Women's Jeans,5,351.71,0.05,2023-07-09,Cash On Delivery,Cancelled,1670.62,False,True,unique,unique
ORD11280,Richard Welch,Male,,,(823)902-3405,United States,Castanedaville,North,,Corporate,Home & Kitchen,Non-stick Pan,5,392.67,0.15,,Upi,Pending,1668.85,False,True,unique,unique
ORD11168,James Parsons,Male,,,8796685909,CANADA,Nicoleshire,North,71067.0,Consumer,Sports,Yoga Mat,5,332.78,0.0,,Credit Card,Delivered,1663.9,False,True,unique,unique
ORD10288,Cathy Bell,Male,,,001-249-555-2893x8911,UNITED KINGDOM,West George,South,99331.0,Home Office,Electronics,Earbuds,5,369.41,0.1,,Upi,Shipped,1662.35,False,True,unique,unique
ORD11476,Brandon Murphy,Male,,jcollins@example.org,+1-840-826-9089x649,India,Contrerashaven,South,8873.0,Home Office,Books,Cook Book,5,330.93,0.0,,Credit  Card,Pending,1654.65,False,True,unique,unique
ORD10614,Alexander Pearson,Male,1997-03-11,richardsonkimberly@example.org,968.629.7514x743,India,New David,East,2723.0,Consumer,Sports,Yoga Mat,5,366.54,0.1,,Cash On Delivery,Cancelled,1649.43,False,True,unique,unique
ORD12977,Jason Pope,Male,,kallen@example.net,297-850-7721,United States,Knoxstad,East,84782.0,Corporate,Electronics,USB-C Hub,5,385.15,0.15,2023-02-10,Credit Card,Delivered,1636.89,False,True,unique,unique
ORD10922,Mary Jones,,1970-05-13,joshuajenkins@example.com,369-299-4494x66720,United Kingdom,West Nicole,West,95006.0,Home Office,Books,Fiction Novel,5,363.49,0.1,,Credit Card,Shipped,1635.71,False,True,unique,unique
ORD10231,Scott Murphy,Female,1980-06-17,heathersalazar@example.org,001-681-779-4695,India,New Anna,West,68619.0,Corporate,Sports,Dumbbell Set,5,384.03,0.15,,Upi,Pending,1632.13,False,True,unique,unique
ORD11393,Jeremiah Ortiz,Male,,,+1-865-907-4456x572,India,Wardview,East,,Consumer,Home & Kitchen,Non-stick Pan,5,342.53,0.05,,Cash On Delivery,Pending,1627.02,False,True,unique,unique
ORD10114,Justin Delgado,Female,,cperry@example.com,(619)403-4043,CANADA,Cunninghamfort,South,72554.0,Consumer,Beauty,Hair Serum,5,403.02,0.2,,Upi,Shipped,1612.08,False,True,unique,unique
ORD10478,Bruce Gilbert,Female,,james60@example.org,219.503.6890,India,North Brianmouth,West,,Home Office,Clothing,Formal Shirt,5,320.27,0.0,,Upi,Pending,1601.35,False,True,unique,unique
ORD12313,Henry Green,Male,,selenaortiz@example.org,+1-626-721-4453x7150,India,Port Christinefort,North,71746.0,Consumer,Beauty,Face Wash,5,334.25,0.05,,Net Banking,Pending,1587.69,False,True,unique,unique
ORD10215,Lynn Brown,Male,,amber25@example.net,001-632-806-7998x136,India,East Matthew,West,62872.0,Corporate,Clothing,Winter Jacket,5,317.48,0.0,2024-02-22,Credit  Card,Returned,1587.4,False,True,unique,unique
ORD10685,David Rosario,Female,,courtneymadden@example.org,(505)486-9507,United Kingdom,Lake Kirkchester,West,,Home Office,Clothing,Running Shoes,5,395.85,0.2,,Upi,Shipped,1583.4,False,True,unique,unique
ORD10145,Jimmy Marks,Male,,,+1-398-361-6229x991,India,Mikaylastad,West,,Corporate,Books,Fiction Novel,5,392.05,0.2,,Cash On Delivery,Pending,1568.2,False,True,unique,unique
ORD12728,Jeffery Thompson,Female,,dustin85@example.com,+1-740-315-4150x689,United Kingdom,New Angelaland,West,11049.0,Corporate,Beauty,Hair Serum,5,366.72,0.15,2023-10-05,Net Banking,Pending,1558.56,False,True,unique,unique
ORD11398,Heather Ross,Male,,stevenwoodard@example.org,622.459.3103x3700,United States,West Selena,North,,Consumer,Home & Kitchen,Non-stick Pan,5,309.56,0.0,2023-01-25,Credit Card,Returned,1547.8,False,True,unique,unique
ORD11282,Ashley White,,,srose@example.com,790.698.6361x5276,United Kingdom,Kevintown,South,,Home Office,Books,Fiction Novel,5,325.34,0.05,2023-04-16,Credit Card,Cancelled,1545.36,False,True,unique,unique
ORD11323,Whitney Robinson,Female,,burnsstephanie@example.org,2712776135,UNITED STATES,Romeroborough,West,51344.0,Corporate,Clothing,Women's Jeans,5,343.15,0.1,,Debit Card,Returned,1544.18,False,True,unique,unique
ORD10504,Eric Thomas,Female,1990-11-01,davisgary@example.com,001-531-226-9789,India,Kingport,South,97561.0,Consumer,Home & Kitchen,Non-stick Pan,5,301.08,0.0,,Debit Card,Delivered,1505.4,False,True,unique,unique
ORD11211,George Adams,Male,,charles56@example.com,296-578-9630,CANADA,Jillburgh,North,8499.0,Home Office,Home & Kitchen,Non-stick Pan,3,497.29,0.0,,Debit Card,Pending,1491.87,False,True,unique,unique
ORD11521,Benjamin Payne,,,rhonda51@example.net,001-548-245-4225x95513,India,Cherylstad,West,,Home Office,Clothing,Running Shoes,3,496.72,0.0,,Debit Card,Shipped,1490.16,False,True,unique,unique
ORD12488,Lisa Dalton,Female,,travisrobertson@example.com,,United Kingdom,New Jasonmouth,South,35736.0,Home Office,Clothing,Women's Jeans,5,329.72,0.1,2024-09-10,Debit Card,Cancelled,1483.74,False,True,unique,unique
ORD10206,Melvin Mcpherson,Male,1971-12-04,knguyen@example.com,,India,South Kristinatown,North,6005.0,Home Office,Books,Kids Story Book,5,295.11,0.0,2024-02-29,Net Banking,Returned,1475.55,False,True,unique,unique
ORD12252,David Thomas,Male,,jrobinson@example.net,(612)255-8877,India,Brianland,North,45123.0,Consumer,Home & Kitchen,LED Lamp,5,327.02,0.1,,Net Banking,Cancelled,1471.59,False,True,unique,unique
ORD11248,Abigail Wright,Male,1981-11-30,tara55@example.org,486.488.7860x2039,India,East Pamfort,North,4981.0,Corporate,Beauty,Sunscreen SPF50,5,293.63,0.0,,Net Banking,Returned,1468.15,False,True,unique,unique
ORD10364,Robert Fox,Male,,kstevens@example.org,001-814-975-4692x6329,India,Bartlettburgh,North,92057.0,Home Office,Books,Fiction Novel,3,486.16,0.0,,Credit  Card,Delivered,1458.48,False,True,unique,unique
ORD10772,Christopher Wilkins,Male,,rodney57@example.com,,CANADA,Amandatown,South,75370.0,Home Office,Books,Fiction Novel,5,323.56,0.1,,Cash On Delivery,Returned,1456.02,False,True,unique,unique
ORD10866,Jeffrey Butler,Female,,aevans@example.org,001-291-885-4880x64420,UNITED STATES,New Sarah,South,65752.0,Corporate,Electronics,Smartwatch,5,306.28,0.05,,Cash On Delivery,Shipped,1454.83,False,True,unique,unique
ORD12999,Kathryn Ramirez,Female,,sara12@example.org,(912)968-7370x14498,CANADA,Lake Hannahhaven,West,85448.0,Consumer,Clothing,Running Shoes,3,483.25,0.0,,Debit Card,Pending,1449.75,False,True,unique,unique
ORD12487,Jennifer Thomas,Female,,allenjeremy@example.net,621-945-5447x22700,United States,Kelseyburgh,South,,Corporate,Clothing,Winter Jacket,5,289.82,0.0,,Cash On Delivery,Returned,1449.1,False,True,unique,unique
ORD11457,Kristen Fuentes,Female,,,+1-264-731-6785x98444,United States,North James,North,,Consumer,Sports,Yoga Mat,5,340.33,0.15,,Credit Card,Delivered,1446.4,False,True,unique,unique
